Reference, Value, Footprint, Datasheet
R1,43k*,Resistors_SMD:R_0603,
R2,10k*,Resistors_SMD:R_0603,
SW1,Side Tactile Sw,Switches_Custom:PTS840_PK_alt_2pin,
R5,150R,Resistors_SMD:R_0603,
R3,3k3,Resistors_SMD:R_0603,
R4,3k3,Resistors_SMD:R_0603,
D1,LED_RGBA,LEDS_SMD_Custom:LTST-S310,
C5,0.1uF,Capacitors_SMD:C_0603,
C3,0.1uF,Capacitors_SMD:C_0603,
C2,0.1uF,Capacitors_SMD:C_0603,
C4,0.1uF,Capacitors_SMD:C_0603,
X1,16 MHz,Crystals:crystal_FA238-TSX3225,
C6,0.1uF,Capacitors_SMD:C_0603,
C1,1uF,Capacitors_SMD:C_0603,
R10,3k3,Resistors_SMD:R_0603,
P3,CommonLink-ProgPads,CommonLink:commonLink-pads,
P4,MOT_CHEST,SparkFun-DiscreteSemi:SMB-DIODE,
R21,10k,Resistors_SMD:R_0603,
R18,10k,Resistors_SMD:R_0603,
SW2,Side Tactile Sw,Switches_Custom:PTS840_PK_alt_2pin,
P1,FPC Connector,Connectors_Custom:FPC_Socket_12pin,
U1,MK20DX256VLH7,MK20DX256VLH7:QFP50P1200X1200X160-64N,
C8,0.1uF,Capacitors_SMD:C_0603,
C9,1uF,Capacitors_SMD:C_0603,
D2,RED,LEDS_SMD_Custom:LTST-S270,
D3,GREEN,LEDS_SMD_Custom:LTST-S270,
R8,150R,Resistors_SMD:R_0603,
R11,1k0*,Resistors_SMD:R_0603,
C10,10uF,Capacitors_SMD:C_0603,
P2,USB_micro_B,open-project:MICRO-B_USB,
BT1,Lipo 1S 1Ah,SparkFun-DiscreteSemi:SMB-DIODE,
R14,10k,Resistors_SMD:R_0603,
R12,100k,Resistors_SMD:R_0603,
R15,10k,Resistors_SMD:R_0603,
Q1,DMG3415U,TO_SOT_Packages_SMD:SOT-23,
R7,33R,Resistors_SMD:R_0603,
R6,33R,Resistors_SMD:R_0603,
R13,270k*,Resistors_SMD:R_0603,
R16,43k*,Resistors_SMD:R_0603,
R23,10k,Resistors_SMD:R_0603,
U2,MCP73833-FCI/MF,Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm,
U3,INA199x2DCK,SOT_Custom:SC70,
R24,0R01,Resistors_SMD:R_1206,
C15,0.47uF,Capacitors_SMD:C_0603,
U5,MAX5395LATA,Digipots:MAX5395,
U6,MAX98304,Audio_Amplifiers_Custom:MAX38309,
R17,100k,Resistors_SMD:R_0603,
C11,0.47uF,Capacitors_SMD:C_0603,
C17,10uF,Capacitors_SMD:C_0603,
R22,0-100k,Resistors_SMD:R_0603,
C7,0.1uF,Capacitors_SMD:C_0603,
U4,W25Q64FVZP,SOT_Custom:WSON-8-6x5,
U7,MDBT40,MDBT40:MDBT40,
X2,32.768kHz,Crystal_Custom:ABS07AIG,
L1,10uH,Capacitors_SMD:C_0603,
L2,15nH,Capacitors_SMD:C_0603,
C19,47nF,Capacitors_SMD:C_0603,
R19,10k,Resistors_SMD:R_0603,
C20,1uF,Capacitors_SMD:C_0603,
C22,0.1uF,Capacitors_SMD:C_0603,
R20,0R,Resistors_SMD:R_0603,
C21,100pF,Capacitors_SMD:C_0603,
C24,12pF,Capacitors_SMD:C_0603,
C23,12pF,Capacitors_SMD:C_0603,
U8,MPU-6050,Sensors_Custom:MPU-6050_QFN-24,
C25,1uF,Capacitors_SMD:C_0603,
C28,2.2nF,Capacitors_SMD:C_0603,
C27,0.1uF,Capacitors_SMD:C_0603,
C26,0.1uF,Capacitors_SMD:C_0603,
U12,DMN2215UDM,SOT_Custom:SOT-26,
U11,DMN2215UDM,SOT_Custom:SOT-26,
U10,DMN2215UDM,SOT_Custom:SOT-26,
U9,DMN2215UDM,SOT_Custom:SOT-26,
R28,150R,Resistors_SMD:R_0603,
R29,150R,Resistors_SMD:R_0603,
R30,150R,Resistors_SMD:R_0603,
R31,150R,Resistors_SMD:R_0603,
R32,150R,Resistors_SMD:R_0603,
R33,150R,Resistors_SMD:R_0603,
R34,150R,Resistors_SMD:R_0603,
